cohort,target_window,stream,june_year_horizon,n,q10,q25,median,q75,q90,width50_pct,width80_pct
balanced_h20,all_targets,PED,5,18,-0.10712728173806994,-0.08772252645614498,-0.05313814794801272,0.01369871549851783,0.024862101382847952,9.77779614159584,12.676242637644231
balanced_h20,excl_2020_2021,HEAVY_RUC,1,7,-0.010725627367656096,-0.00024411514056956601,0.021297352485423353,0.024205210286723376,0.02673119698954355,2.4744619715891147,3.7759993238789424
balanced_h20,excl_2020_2021,HEAVY_RUC,2,14,0.0058320943396094485,0.011760345246532694,0.026350974972786136,0.04734334325511147,0.050593151980028894,3.6652166495035443,4.604571076737929
balanced_h20,excl_2020_2021,HEAVY_RUC,3,8,-0.007006745566790833,-0.0010747935911707934,0.041898014707504566,0.04409428880485812,0.05077908058992386,4.615510587848803,5.907269596490861
balanced_h20,excl_2020_2021,HEAVY_RUC,4,14,-0.04475261682159337,-0.034246783766765695,-0.03141380437850708,-0.01720093471295945,0.035856718233930385,1.6613156875103452,8.02733144671296
balanced_h20,excl_2020_2021,HEAVY_RUC,5,6,-0.061436875575942705,-0.056736690909972194,-0.043433406452064977,-0.0140832668773394,-0.006872588839585239,4.117261609860168,5.273866653926717
balanced_h20,excl_2020_2021,LIGHT_RUC,1,1,-0.006435295145260848,-0.006435295145260848,-0.006435295145260848,-0.006435295145260848,-0.006435295145260848,0.0,0.0
balanced_h20,excl_2020_2021,LIGHT_RUC,2,1,0.11979658908952653,0.11979658908952653,0.11979658908952653,0.11979658908952653,0.11979658908952653,0.0,0.0
balanced_h20,excl_2020_2021,LIGHT_RUC,3,3,0.04887833085081701,0.06386212968540343,0.08883512774304747,0.10872113203437168,0.12065273460916622,4.890598424414372,7.814046894385318
balanced_h20,excl_2020_2021,LIGHT_RUC,4,11,-0.2393821039806984,-0.1870097376963465,-0.05344645704797293,-0.0410317868415937,-6.556902137669048e-05,13.036296094270295,21.28203676412277
balanced_h20,excl_2020_2021,LIGHT_RUC,5,6,-0.3021840659737779,-0.2350924153387165,-0.06239921086573195,-0.04261819215477656,-0.03011817986534198,16.77794058487525,23.112886277022927
balanced_h20,excl_2020_2021,PED,1,14,-0.006587732515715612,-0.00042491722684838494,0.0014257719817444543,0.0077182223919630534,0.010991436764906293,0.8172911611124545,1.7618145507934058
balanced_h20,excl_2020_2021,PED,2,32,-0.006266838367864326,-0.0022982751243046827,0.0027023366626256085,0.012632653463597768,0.014784401597892885,1.5008418601075157,2.114147414389711
balanced_h20,excl_2020_2021,PED,3,18,-0.0009018660280287306,0.0028360956255186406,0.014469840798896669,0.0198391377103104,0.023000047273681615,1.7197120152849132,2.4168047389887426
balanced_h20,excl_2020_2021,PED,4,32,-0.0517560498337474,0.0008763574706057542,0.013196514113963408,0.023077641211259516,0.02449641274264367,2.2469248701062483,7.5238430854997596
balanced_h20,excl_2020_2021,PED,5,12,-0.08299705332409747,-0.050766473537258244,0.012089106568859736,0.02321489010792285,0.026335657140958445,7.298584136957443,10.633164576437615
