engine,uptake_basis,scenario_name,scenario_role,trace_name,series_id,FY,fed_path,forecast_segment,value
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2043,MBU26,,1455.56004539805
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2043,BEFU26,,1456.31362892572
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2044,MBU26,,1308.24608415523
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2044,BEFU26,,1308.84145418657
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2045,MBU26,,1172.96852286038
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2045,BEFU26,,1173.42818009653
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2046,MBU26,,1050.52058396656
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2046,BEFU26,,1050.86523700274
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2047,MBU26,,939.986215553904
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2047,BEFU26,,940.234081044899
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2048,MBU26,,841.589280474823
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2048,BEFU26,,841.75650789766
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2049,MBU26,,753.045267153356
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2049,BEFU26,,753.145504007594
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2050,MBU26,,673.368126706594
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2050,BEFU26,,673.413179791274
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2051,MBU26,,603.473560787721
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2051,BEFU26,,603.473581810276
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2052,MBU26,,544.936087107084
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2052,BEFU26,,544.936082052869
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2053,MBU26,,493.875759253385
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2053,BEFU26,,493.875760469379
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2054,MBU26,,449.678514362456
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2054,BEFU26,,449.678514066297
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2055,MBU26,,407.914941022298
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2055,BEFU26,,407.914941109404
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2001,,,5664.92423
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2002,,,6386.274088
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2003,,,6049.305779
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2004,,,6822.401291
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2005,,,7530.569661
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2006,,,7030.767248
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2007,,,7464.686295
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2008,,,7830.197444
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2009,,,7549.161403
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2010,,,7829.25488
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2011,,,7818.038709
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2012,,,7932.324522
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2013,,,8150.161816
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2014,,,8809.590297
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2015,,,9167.483044
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2016,,,9669.475028
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2017,,,10425.610839
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2018,,,11112.22716
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2019,,,11898.225208
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2020,,,11385.93681
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2021,,,11998.163013
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2022,,,12644.208208
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2023,,,13553.287615
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2024,,,10355.550659
ensemble,MoT VFM base,actual,actual,Actual,light_ruc_net_km,2025,,,12273.983872
ensemble,MoT VFM base,current_basecase,basecase,Current finalist Base case,light_ruc_net_km,2025,Current planned path,econometric_forecast,12073.374168411488
ensemble,MoT VFM base,current_comparison_1,comparison,Current finalist High population/comparison,light_ruc_net_km,2025,Current planned path,econometric_forecast,12073.374168411488
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,light_ruc_net_km,2026,MBU26,,12899.1247322853
ensemble,MoT VFM base,current_basecase,basecase,Current finalist Base case,light_ruc_net_km,2026,Current planned path,econometric_forecast,12790.779603597242
ensemble,MoT VFM base,current_comparison_1,comparison,Current finalist High population/comparison,light_ruc_net_km,2026,Current planned path,econometric_forecast,12799.173094073076
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,light_ruc_net_km,2026,BEFU26,,12707.9889982716
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,light_ruc_net_km,2027,MBU26,,12939.636710647
ensemble,MoT VFM base,current_basecase,basecase,Current finalist Base case,light_ruc_net_km,2027,Current planned path,econometric_forecast,12939.128473679877
ensemble,MoT VFM base,current_comparison_1,comparison,Current finalist High population/comparison,light_ruc_net_km,2027,Current planned path,econometric_forecast,13017.06092021223
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,light_ruc_net_km,2027,BEFU26,,12458.8356197041
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,light_ruc_net_km,2028,MBU26,,13427.7171481819
ensemble,MoT VFM base,current_basecase,basecase,Current finalist Base case,light_ruc_net_km,2028,Current planned path,econometric_forecast,13542.195255933108
ensemble,MoT VFM base,current_comparison_1,comparison,Current finalist High population/comparison,light_ruc_net_km,2028,Current planned path,econometric_forecast,13696.090649417061
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,light_ruc_net_km,2028,BEFU26,,13232.0139233986
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,light_ruc_net_km,2029,MBU26,,13926.5605658137
ensemble,MoT VFM base,current_basecase,basecase,Current finalist Base case,light_ruc_net_km,2029,Current planned path,econometric_forecast,14131.358557992657
ensemble,MoT VFM base,current_comparison_1,comparison,Current finalist High population/comparison,light_ruc_net_km,2029,Current planned path,econometric_forecast,14368.01831204475
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,light_ruc_net_km,2029,BEFU26,,13877.7063577933
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,light_ruc_net_km,2030,MBU26,,14402.4384228319
ensemble,MoT VFM base,current_basecase,basecase,Current finalist Base case,light_ruc_net_km,2030,Current planned path,econometric_forecast,14552.971035061611
ensemble,MoT VFM base,current_comparison_1,comparison,Current finalist High population/comparison,light_ruc_net_km,2030,Current planned path,econometric_forecast,14875.50175327954
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,light_ruc_net_km,2030,BEFU26,,14439.0859778169
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,light_ruc_net_km,2031,MBU26,,14246.1931200422
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,light_ruc_net_km,2031,BEFU26,,14282.443102883
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,light_ruc_net_km,2032,MBU26,,14040.9690145148
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,light_ruc_net_km,2032,BEFU26,,14076.696796776
