source_release,workbook_basename,workbook_sha256,sheet,source_row,source_cell,source_year_cell,source_status_cell,source_formula,asserted_formula,FY,period,period_status,source_label,label,series_id,display_name,section,unit,metric_type,row_role,value,value_status,source_kind
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AK10,AK6,AK7,,,2035,FY2035,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,13152.7808038663,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AL10,AL6,AL7,,,2036,FY2036,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,12784.9358761227,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AM10,AM6,AM7,,,2037,FY2037,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,12371.4019487283,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AN10,AN6,AN7,,,2038,FY2038,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,11896.5686763478,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AO10,AO6,AO7,,,2039,FY2039,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,11374.9392472356,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AP10,AP6,AP7,,,2040,FY2040,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,10822.4760796405,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AQ10,AQ6,AQ7,,,2041,FY2041,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,10279.1712987887,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AR10,AR6,AR7,,,2042,FY2042,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,9708.65423194621,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AS10,AS6,AS7,,,2043,FY2043,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,9162.12414366238,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AT10,AT6,AT7,,,2044,FY2044,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,8641.17139705809,official_forecast,mbu26_source_row
