scenario_role,fy,measure,S0_pack,S1_post_macro,S2_canonical_exact_vfm,S3_selected_sensitivities,S3_alt_parametric_fit,S4_post_policy,macro_effect,canonical_composition_effect,optional_composition_effect,retired_fit_vs_canonical,policy_effect,vfm_scenario,exact_base_conventional_share,exact_base_bev_share,exact_base_phev_share
comparison,2026,light_conventional_km,12980.976058770078,12966.725025675541,12966.725025675543,12966.725025675543,12832.215239713094,12966.725025675543,-14.251033094536979,1.8189894035458565e-12,0.0,-134.5097859624493,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
comparison,2026,light_bev_km,1255.570552512948,1254.1921370983155,1254.1921370983155,1254.1921370983155,1346.2415978858135,1254.1921370983155,-1.3784154146326273,0.0,0.0,92.04946078749799,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
comparison,2026,light_phev_km,657.5138506671009,656.7920057454594,656.7920057454595,656.7920057454595,699.2523309204079,656.7920057454595,-0.721844921641491,1.1368683772161603e-13,0.0,42.460325174948366,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
comparison,2026,light_pool_km,14894.060461950128,14877.709168519315,14877.709168519319,14877.709168519319,14877.709168519315,14877.709168519319,-16.351293430812802,3.637978807091713e-12,0.0,-3.637978807091713e-12,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
comparison,2026,heavy_conventional_km,4046.923612104339,4044.589184194027,4044.589184194027,4044.589184194027,4044.589184194027,4044.589184194027,-2.3344279103121153,0.0,0.0,0.0,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
comparison,2026,heavy_conventional_revenue,1129.8282984461619,1129.1765681525965,1129.1765681525965,1129.1765681525965,1129.1765681525965,1129.1765681525965,-0.6517302935653788,0.0,0.0,0.0,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
comparison,2026,light_petrol_vkt,32976.2816579757,32980.41982337335,32980.41982337335,32980.41982337335,32980.41982337335,32980.41982337335,4.138165397649573,0.0,0.0,0.0,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
comparison,2026,net_fed_revenue,2105.5310336626153,2105.7991730197805,2105.7991730197805,2105.7991730197805,2105.7991730197805,2105.7991730197805,0.26813935716518245,0.0,0.0,0.0,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
comparison,2026,total_ruc_net_revenue,2081.866502550141,2080.131762931382,2080.131762931382,2080.131762931382,2078.684386819825,2080.131762931382,-1.7347396187587947,0.0,0.0,-1.4473761115573325,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
comparison,2026,total_nltf_net_revenue,4629.93280722776,4628.466206966166,4628.466206966166,4628.466206966166,4627.018830854609,4628.466206966166,-1.466600261594067,0.0,0.0,-1.4473761115568777,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
comparison,2026,heavy_bev_km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
comparison,2026,heavy_bev_revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
comparison,2027,light_conventional_km,12774.050308031503,12787.822827750515,12787.822827750515,12787.822827750515,12657.48035756424,12829.24715015648,13.772519719012053,0.0,0.0,-130.34247018627502,41.42432240596463,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
