series_id,FY,fifty_nested_in_eighty,central_inside_eighty
ped_volume,2031,True,True
ped_volume,2032,True,True
ped_volume,2033,True,True
ped_volume,2034,True,True
ped_volume,2035,True,True
ped_volume,2036,True,True
ped_volume,2037,True,True
ped_volume,2038,True,True
ped_volume,2039,True,True
ped_volume,2040,True,True
ped_volume,2041,True,True
ped_volume,2042,True,True
ped_volume,2043,True,True
ped_volume,2044,True,True
ped_volume,2045,True,True
ped_volume,2046,True,True
ped_volume,2047,True,True
ped_volume,2048,True,True
ped_volume,2049,True,True
ped_volume,2050,True,True
phev_ruc_net_km,2026,True,True
phev_ruc_net_km,2027,True,True
phev_ruc_net_km,2028,True,True
phev_ruc_net_km,2029,True,True
phev_ruc_net_km,2030,True,True
phev_ruc_net_km,2031,True,True
phev_ruc_net_km,2032,True,True
phev_ruc_net_km,2033,True,True
phev_ruc_net_km,2034,True,True
phev_ruc_net_km,2035,True,True
phev_ruc_net_km,2036,True,True
phev_ruc_net_km,2037,True,True
phev_ruc_net_km,2038,True,True
phev_ruc_net_km,2039,True,True
phev_ruc_net_km,2040,True,True
phev_ruc_net_km,2041,True,True
phev_ruc_net_km,2042,True,True
phev_ruc_net_km,2043,True,True
phev_ruc_net_km,2044,True,True
phev_ruc_net_km,2045,True,True
phev_ruc_net_km,2046,True,True
phev_ruc_net_km,2047,True,True
phev_ruc_net_km,2048,True,True
phev_ruc_net_km,2049,True,True
phev_ruc_net_km,2050,True,True
phev_ruc_net_revenue,2026,True,True
phev_ruc_net_revenue,2027,True,True
phev_ruc_net_revenue,2028,True,True
phev_ruc_net_revenue,2029,True,True
phev_ruc_net_revenue,2030,True,True
phev_ruc_net_revenue,2031,True,True
phev_ruc_net_revenue,2032,True,True
phev_ruc_net_revenue,2033,True,True
phev_ruc_net_revenue,2034,True,True
phev_ruc_net_revenue,2035,True,True
phev_ruc_net_revenue,2036,True,True
phev_ruc_net_revenue,2037,True,True
phev_ruc_net_revenue,2038,True,True
phev_ruc_net_revenue,2039,True,True
phev_ruc_net_revenue,2040,True,True
phev_ruc_net_revenue,2041,True,True
phev_ruc_net_revenue,2042,True,True
phev_ruc_net_revenue,2043,True,True
phev_ruc_net_revenue,2044,True,True
phev_ruc_net_revenue,2045,True,True
phev_ruc_net_revenue,2046,True,True
phev_ruc_net_revenue,2047,True,True
phev_ruc_net_revenue,2048,True,True
phev_ruc_net_revenue,2049,True,True
phev_ruc_net_revenue,2050,True,True
ruc_admin_revenue,2026,True,True
ruc_admin_revenue,2027,True,True
ruc_admin_revenue,2028,True,True
ruc_admin_revenue,2029,True,True
ruc_admin_revenue,2030,True,True
ruc_admin_revenue,2031,True,True
ruc_admin_revenue,2032,True,True
ruc_admin_revenue,2033,True,True
ruc_admin_revenue,2034,True,True
ruc_admin_revenue,2035,True,True
ruc_admin_revenue,2036,True,True
ruc_admin_revenue,2037,True,True
ruc_admin_revenue,2038,True,True
ruc_admin_revenue,2039,True,True
ruc_admin_revenue,2040,True,True
ruc_admin_revenue,2041,True,True
ruc_admin_revenue,2042,True,True
ruc_admin_revenue,2043,True,True
ruc_admin_revenue,2044,True,True
ruc_admin_revenue,2045,True,True
ruc_admin_revenue,2046,True,True
ruc_admin_revenue,2047,True,True
ruc_admin_revenue,2048,True,True
ruc_admin_revenue,2049,True,True
ruc_admin_revenue,2050,True,True
ruc_refunds,2026,True,True
ruc_refunds,2027,True,True
ruc_refunds,2028,True,True
ruc_refunds,2029,True,True
ruc_refunds,2030,True,True
ruc_refunds,2031,True,True
ruc_refunds,2032,True,True
ruc_refunds,2033,True,True
ruc_refunds,2034,True,True
ruc_refunds,2035,True,True
ruc_refunds,2036,True,True
ruc_refunds,2037,True,True
ruc_refunds,2038,True,True
