series_id,FY,span80_pct_before,span80_pct_after,span50_pct_before,span50_pct_after,median_multiplier_before,median_multiplier_after,span80_pct_abs_change,span50_pct_abs_change,median_multiplier_abs_change
gross_ped_revenue,2038,16.840312900449312,16.840312900449312,13.23782691170707,13.23782691170707,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
gross_ped_revenue,2039,16.840312900449316,16.840312900449316,13.237826911707076,13.237826911707076,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
gross_ped_revenue,2040,16.840312900449295,16.840312900449295,13.237826911707065,13.237826911707065,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
gross_ped_revenue,2041,16.840312900449312,16.840312900449312,13.237826911707073,13.237826911707073,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
gross_ped_revenue,2042,16.84031290044931,16.84031290044931,13.237826911707081,13.237826911707081,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
gross_ped_revenue,2043,16.840312900449305,16.840312900449305,13.237826911707064,13.237826911707064,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
gross_ped_revenue,2044,16.8403129004493,16.8403129004493,13.23782691170707,13.23782691170707,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
gross_ped_revenue,2045,16.840312900449295,16.840312900449295,13.237826911707062,13.237826911707062,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
gross_ped_revenue,2046,16.840312900449295,16.840312900449295,13.237826911707073,13.237826911707073,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
gross_ped_revenue,2047,16.840312900449288,16.840312900449288,13.237826911707055,13.237826911707055,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
gross_ped_revenue,2048,16.840312900449323,16.840312900449323,13.237826911707053,13.237826911707053,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
gross_ped_revenue,2049,16.840312900449305,16.840312900449305,13.237826911707058,13.237826911707058,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
gross_ped_revenue,2050,16.840312900449298,16.840312900449298,13.237826911707076,13.237826911707076,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
gross_ruc_revenue,2026,9.11711854328306,9.11711854328306,3.447372183125555,3.447372183125555,0.9897777751911995,0.9897777751911995,0.0,0.0,0.0
gross_ruc_revenue,2027,12.055726455465162,12.055726455465162,4.63827496101106,4.63827496101106,0.9774770110403685,0.9774770110403685,0.0,0.0,0.0
gross_ruc_revenue,2028,12.855601943460274,12.855601943460274,5.48551723277332,5.48551723277332,0.9679553680980688,0.9679553680980688,0.0,0.0,0.0
gross_ruc_revenue,2029,15.974851813841012,15.974851813841012,7.90913424159474,7.90913424159474,0.9619028833860062,0.9619028833860062,0.0,0.0,0.0
gross_ruc_revenue,2030,19.14655323545185,19.14655323545185,11.052197498424892,11.052197498424892,0.9536737397206079,0.9536737397206079,0.0,0.0,0.0
gross_ruc_revenue,2031,19.31235394555378,19.31235394555378,11.157529274476511,11.157529274476511,0.9534420363725379,0.9534420363725379,0.0,0.0,0.0
gross_ruc_revenue,2032,19.466243562522983,19.466243562522983,11.25333195743546,11.25333195743546,0.9532118434743134,0.9532118434743134,0.0,0.0,0.0
gross_ruc_revenue,2033,19.672782471651512,19.672782471651512,11.333744991875843,11.333744991875843,0.9529213750128042,0.9529213750128042,0.0,0.0,0.0
gross_ruc_revenue,2034,19.89886950865555,19.89886950865555,11.447393356212496,11.447393356212496,0.9526277817207217,0.9526277817207217,0.0,0.0,0.0
gross_ruc_revenue,2035,20.145111368517842,20.145111368517842,11.640167477542311,11.640167477542311,0.9523933122973429,0.9523933122973429,0.0,0.0,0.0
