engine,policy_state,series_id,series_label,row_type,june_year,value,value_unit,official_value,movement_vs_origin_main
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,future_forecast,2050,13213.33293525748,$m nominal ex GST,6442.98776042894,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,official_comparator,2026,4563.15127995703,$m nominal ex GST,4563.15127995703,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,official_comparator,2026,4493.65132567772,$m nominal ex GST,4493.65132567772,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,official_comparator,2030,6434.36939164909,$m nominal ex GST,6434.36939164909,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,official_comparator,2030,6442.98776042894,$m nominal ex GST,6442.98776042894,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,official_comparator,2031,6701.03490698007,$m nominal ex GST,6701.03490698007,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,official_comparator,2031,6709.89785800321,$m nominal ex GST,6709.89785800321,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,official_comparator,2050,12909.5821651262,$m nominal ex GST,12909.5821651262,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,official_comparator,2050,12910.4837029366,$m nominal ex GST,12910.4837029366,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,future_forecast,2026,2072.019805657217,$m nominal ex GST,2074.47282065665,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,future_forecast,2026,2073.0313570204744,$m nominal ex GST,2074.47282065665,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,future_forecast,2026,2050.9668388614487,$m nominal ex GST,2074.47282065665,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,future_forecast,2030,3253.9373715651354,$m nominal ex GST,3296.86012635663,0
