engine,scenario,fy,period,quarterly_ped_vkt_per_capita,population,quarterly_light_petrol_vkt,recomputed_petrol_from_identity,identity_residual,identity_rel_residual,positive
ensemble,current_comparison_1,2047,2047Q2,462.3043220502409,7357390.242942685,3401.353308322675,3401.3533083226753,-4.547473508864641e-13,-1.3369600557923686e-16,True
ensemble,current_comparison_1,2048,2047Q3,415.5348155872771,7384826.6055108765,3068.652561664979,3068.6525616649797,-4.547473508864641e-13,-1.4819121479159205e-16,True
ensemble,current_comparison_1,2048,2047Q4,418.79058894905825,7412365.280715222,3104.228821416279,3104.2288214162795,-4.547473508864641e-13,-1.4649285766214532e-16,True
ensemble,current_comparison_1,2048,2048Q1,414.69449999411864,7440006.650088641,3085.3298377114265,3085.3298377114265,0.0,0.0,True
ensemble,current_comparison_1,2048,2048Q2,412.7838865692809,7467751.096586824,3082.5673215811184,3082.567321581119,-4.547473508864641e-13,-1.4752227719497588e-16,True
ensemble,current_comparison_1,2049,2048Q3,370.7910329401443,7495599.004593538,2779.300897418356,2779.3008974183554,4.547473508864641e-13,1.6361933006565463e-16,True
ensemble,current_comparison_1,2049,2048Q4,373.6945791818305,7523550.759925948,2811.510135183668,2811.5101351836684,-4.547473508864641e-13,-1.6174487340297523e-16,True
ensemble,current_comparison_1,2049,2049Q1,370.0434320692068,7551606.749839969,2794.4224793477706,2794.42247934777,4.547473508864641e-13,1.6273392954976658e-16,True
ensemble,current_comparison_1,2049,2049Q2,368.3399105353757,7579767.363035626,2791.9308323795026,2791.9308323795026,0.0,0.0,True
ensemble,current_comparison_1,2050,2049Q3,330.6946751752908,7608032.98966244,2515.9359982393175,2515.935998239317,4.547473508864641e-13,1.8074678815546254e-16,True
ensemble,current_comparison_1,2050,2049Q4,333.28276414574526,7636404.021324838,2545.0818403608264,2545.0818403608264,0.0,0.0,True
ensemble,current_comparison_1,2050,2050Q1,330.02990931466326,7664880.851087569,2529.6399321921294,2529.6399321921294,0.0,0.0,True
ensemble,current_comparison_1,2050,2050Q2,328.5118172205725,7693463.873481161,2527.3937977981204,2527.3937977981204,0.0,0.0,True
ar1,current_basecase,2031,2030Q3,1461.06171769025,5553567.378906228,8114.104693933272,8114.104693933273,-9.094947017729282e-13,-1.120881152116433e-16,True
ar1,current_basecase,2031,2030Q4,1478.7759466197049,5564641.346909503,8228.857775375249,8228.85777537525,-1.8189894035458565e-12,-2.2105004767358586e-16,True
ar1,current_basecase,2031,2031Q1,1458.584477505978,5573661.931102861,8129.6567755726255,8129.656775572626,-9.094947017729282e-13,-1.1187368998230144e-16,True
ar1,current_basecase,2031,2031Q2,1448.8147603437642,5582697.138150437,8088.294016281244,8088.294016281243,9.094947017729282e-13,1.1244580129532516e-16,True
ar1,current_basecase,2032,2031Q3,1452.2745690469212,5591746.991756667,8120.751952672832,8120.751952672833,-9.094947017729282e-13,-1.1199636524713462e-16,True
ar1,current_basecase,2032,2031Q4,1468.887734266664,5600811.515664415,8226.963337298943,8226.963337298943,0.0,0.0,True
ar1,current_basecase,2032,2032Q1,1448.3081808374654,5609890.73365503,8124.85064315687,8124.850643156871,-9.094947017729282e-13,-1.1193986717022883e-16,True
ar1,current_basecase,2032,2032Q2,1438.3302268121706,5618984.669548416,8081.955494205681,8081.955494205682,-9.094947017729282e-13,-1.1253399037213036e-16,True
ar1,current_basecase,2033,2032Q3,1438.7667361881931,5628093.347203086,8097.513496117867,8097.513496117867,0.0,0.0,True
ar1,current_basecase,2033,2032Q4,1455.1457375359118,5637216.790516234,8202.97198428557,8202.97198428557,0.0,0.0,True
ar1,current_basecase,2033,2033Q1,1434.6828642758644,5646355.023423788,8100.728797724056,8100.728797724057,-9.094947017729282e-13,-1.1227319473137476e-16,True
ar1,current_basecase,2033,2033Q2,1424.736667473534,5655508.06990048,8057.609720379688,8057.609720379688,0.0,0.0,True
ar1,current_basecase,2034,2033Q3,1420.6342878091816,5664675.9539599065,8047.432889523629,8047.432889523629,0.0,0.0,True
ar1,current_basecase,2034,2033Q4,1436.7720324996328,5673858.699654589,8152.041496018447,8152.041496018448,-9.094947017729282e-13,-1.1156649560936805e-16,True
ar1,current_basecase,2034,2034Q1,1416.6104417553345,5683056.331076043,8050.676939686084,8050.676939686083,9.094947017729282e-13,1.129712083327482e-16,True
ar1,current_basecase,2034,2034Q2,1406.8518426737617,5692268.872354833,8008.1789520668935,8008.178952066893,9.094947017729282e-13,1.1357072653055407e-16,True
ar1,current_basecase,2035,2034Q3,1396.0129365502505,5701496.347660646,7959.3626590282665,7959.362659028266,9.094947017729282e-13,1.1426727751138376e-16,True
ar1,current_basecase,2035,2034Q4,1411.9194062480417,5710738.781202344,8063.1029091928785,8063.1029091928785,0.0,0.0,True
ar1,current_basecase,2035,2035Q1,1392.1428248081827,5719996.197228037,7963.051663901103,7963.051663901102,9.094947017729282e-13,1.1421434145604504e-16,True
ar1,current_basecase,2035,2035Q2,1382.5789711645891,5729268.62002514,7921.166314199923,7921.166314199923,0.0,0.0,True
ar1,current_basecase,2036,2035Q3,1362.2693697724128,5738556.073920441,7817.45916622325,7817.459166223251,-9.094947017729282e-13,-1.1634147136995164e-16,True
ar1,current_basecase,2036,2035Q4,1377.804161950403,5747858.58328016,7919.423478345751,7919.423478345752,-9.094947017729282e-13,-1.1484354944015546e-16,True
