stream,stream_label,component_label,component_model,score_basis,eval_grid,origin,target_period,horizon,actual,stored_component_pred,replayed_pred,replayed_pred_log,abs_delta,abs_pct_delta,match_status,component_weight,weighted_component_pred,final_pred,ensemble_model
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q1,2019Q1,12,1015128136.0,978561678.1372396,979950509.7274435,20.70301262807559,1388831.5902038813,0.1419258102205289,delta_exceeds_tolerance,0.469332,459270309.52350694,951076662.5503247,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q2,2016Q3,1,917814423.0,933764892.0447688,933405274.698227,20.65435004252276,359617.34654176235,0.038512622353392215,delta_exceeds_tolerance,0.469332,438245744.3131555,920005049.4816248,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q2,2016Q4,2,977369221.0,960092904.5008717,956892732.2532997,20.67920185562534,3200172.247571945,0.33331901866680647,delta_exceeds_tolerance,0.469332,450602323.05520314,947889133.4405727,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q2,2017Q1,3,987496699.0,951659123.20322,954492042.2425756,20.676689864000064,2832919.0393556356,0.29768211855314564,delta_exceeds_tolerance,0.469332,446644079.6112137,937358210.4243102,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q2,2017Q2,4,960003244.0,917211889.1670996,916631920.8771282,20.63621655474071,579968.2899713516,0.0632316585536204,delta_exceeds_tolerance,0.469332,430476890.3665732,915782420.0884752,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q2,2017Q3,5,975147170.0,938725206.1169032,938127635.5665952,20.659396569746157,597570.5503079891,0.06365766535447343,delta_exceeds_tolerance,0.469332,440573778.4372584,922937633.0362511,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q2,2017Q4,6,1057176543.0,985122410.8272452,987478544.2629853,20.710665327174887,2356133.4357401133,0.23917164099044066,delta_exceeds_tolerance,0.469332,462349471.31837267,958425954.4370747,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q2,2018Q1,7,1005850627.0,969325706.3018523,968877440.0395594,20.691648680988333,448266.26229298115,0.046245163971065574,delta_exceeds_tolerance,0.469332,454935572.390061,944438925.3640563,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q2,2018Q2,8,983918062.0,918814096.0361124,916430382.6899245,20.63599666239158,2383713.346187949,0.25943369354819534,delta_exceeds_tolerance,0.469332,431228857.32082075,915955905.8029683,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q2,2018Q3,9,987441652.0,952119006.8111008,946775586.9883946,20.668572650510786,5343419.8227062225,0.5612134391269799,delta_exceeds_tolerance,0.469332,446859917.7046676,929079237.7100172,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q2,2018Q4,10,1082003936.0,997767281.2320676,999917557.8486509,20.72318339139652,2150276.6165833473,0.21550883227280543,delta_exceeds_tolerance,0.469332,468284113.6352088,965653013.8325958,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q2,2019Q1,11,1015128136.0,972940359.683626,975237357.7386522,20.698191443168994,2296998.0550261736,0.23608826914869635,delta_exceeds_tolerance,0.469332,456632044.8910356,949218419.6603646,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q2,2019Q2,12,986591092.0,949099621.1705308,949573453.0995237,20.6715234449923,473831.92899286747,0.04992436182921319,delta_exceeds_tolerance,0.469332,445442823.4032076,928312558.0540459,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q3,2016Q4,1,977369221.0,959444917.38103,956247986.8478838,20.67852783784569,3196930.533146143,0.33320626074842474,delta_exceeds_tolerance,0.469332,450298201.9642736,947876561.3271149,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q3,2017Q1,2,987496699.0,952862109.2035148,955837817.3682083,20.678098809519593,2975708.164693475,0.31229158300573323,delta_exceeds_tolerance,0.469332,447208679.43670404,935900515.543952,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q3,2017Q2,3,960003244.0,914689833.2611514,914696839.4980053,20.63410324538722,7006.236853837967,0.0007659685938411025,delta_exceeds_tolerance,0.469332,429293208.8241227,917720301.3119082,HEAVY_RUC__RECON_STATIC_REBUILT
