candidate_id,artifact_basename,container_basename,archive_entry_name,source_location_class,source_scope,repo_relative_path,artifact_role,source_stage,size_bytes,sha256,container_sha256,is_archive_entry,status,used_for_recovery,required_for_replay,vendor_repo_relative_path,notes
heavy_parent_search_0185,all_quarterly_predictions.csv,heavy_ruc_fullgrid_rescue_closure_run_20260521_171358_20260521_175036.zip,all_quarterly_predictions.csv,external_user_candidate_drop,local_heavy_ruc_named_candidates,,raw_parent_component_forecast_source,parent_run_prediction_lineage,72166313,,9eb9807393c0a00655b80d193dbca4f5abb9606a89c5fccc66d7b22b52d3bf39,True,stored_predictions_not_forward_state,False,False,,Stored component/final predictions prove replay lineage but cannot score new assumption rows by themselves. Entry hash not computed; container hash recorded.
heavy_parent_search_0186,base_quarterly_predictions.csv,heavy_ruc_fullgrid_rescue_closure_run_20260521_171358_20260521_175036.zip,base_quarterly_predictions.csv,external_user_candidate_drop,local_heavy_ruc_named_candidates,,raw_parent_component_forecast_source,parent_run_prediction_lineage,18437422,e404c2fd53519bf6c4230d0ceaf8405fb284e2017a4a0a703e1bde1df2fa05e2,9eb9807393c0a00655b80d193dbca4f5abb9606a89c5fccc66d7b22b52d3bf39,True,stored_predictions_not_forward_state,False,False,,Stored component/final predictions prove replay lineage but cannot score new assumption rows by themselves.
heavy_parent_search_0187,ensemble_quarterly_predictions.csv,heavy_ruc_fullgrid_rescue_closure_run_20260521_171358_20260521_175036.zip,ensemble_quarterly_predictions.csv,external_user_candidate_drop,local_heavy_ruc_named_candidates,,raw_parent_component_forecast_source,parent_run_prediction_lineage,53729053,,9eb9807393c0a00655b80d193dbca4f5abb9606a89c5fccc66d7b22b52d3bf39,True,stored_predictions_not_forward_state,False,False,,Stored component/final predictions prove replay lineage but cannot score new assumption rows by themselves. Entry hash not computed; container hash recorded.
heavy_parent_search_0188,ensemble_weights.csv,heavy_ruc_fullgrid_rescue_closure_run_20260521_171358_20260521_175036.zip,ensemble_weights.csv,external_user_candidate_drop,local_heavy_ruc_named_candidates,,raw_parent_component_forecast_source,parent_run_prediction_lineage,477125,3014e07246283924511a50ca0898ffc937023633c42239f5289eca1194a680ce,9eb9807393c0a00655b80d193dbca4f5abb9606a89c5fccc66d7b22b52d3bf39,True,stored_predictions_not_forward_state,False,False,,Stored component/final predictions prove replay lineage but cannot score new assumption rows by themselves.
heavy_parent_search_0189,all_quarterly_predictions.csv,heavy_ruc_reconciliation_outputs_no_huge_predictions.zip,all_quarterly_predictions.csv,external_user_candidate_drop,local_heavy_ruc_named_candidates,,raw_parent_component_forecast_source,parent_run_prediction_lineage,62256824,,c4c95f5d2358b759156bb926e04a6b18defc76827c9146f93c7496f3b83101be,True,stored_predictions_not_forward_state,False,False,,Stored component/final predictions prove replay lineage but cannot score new assumption rows by themselves. Entry hash not computed; container hash recorded.
heavy_parent_search_0190,base_quarterly_predictions.csv,heavy_ruc_reconciliation_outputs_no_huge_predictions.zip,base_quarterly_predictions.csv,external_user_candidate_drop,local_heavy_ruc_named_candidates,,raw_parent_component_forecast_source,parent_run_prediction_lineage,17182501,29306dccb43587a8fb9193e5a91f9739ab80425f7b6d807cd561325291e8c34c,c4c95f5d2358b759156bb926e04a6b18defc76827c9146f93c7496f3b83101be,True,stored_predictions_not_forward_state,False,False,,Stored component/final predictions prove replay lineage but cannot score new assumption rows by themselves.
heavy_parent_search_0191,ensemble_quarterly_predictions.csv,heavy_ruc_reconciliation_outputs_no_huge_predictions.zip,ensemble_quarterly_predictions.csv,external_user_candidate_drop,local_heavy_ruc_named_candidates,,raw_parent_component_forecast_source,parent_run_prediction_lineage,45074485,6bb3aa5d324ec3955e856a10c0623f03368351aabb097ed2d34b69b9aed42ec6,c4c95f5d2358b759156bb926e04a6b18defc76827c9146f93c7496f3b83101be,True,stored_predictions_not_forward_state,False,False,,Stored component/final predictions prove replay lineage but cannot score new assumption rows by themselves.
heavy_parent_search_0192,ensemble_weights.csv,heavy_ruc_reconciliation_outputs_no_huge_predictions.zip,ensemble_weights.csv,external_user_candidate_drop,local_heavy_ruc_named_candidates,,raw_parent_component_forecast_source,parent_run_prediction_lineage,437941,cd5cd94c2a8d6ea9aff339ffee736ad5803e6c5291ace50b90d15ef86f3aefd7,c4c95f5d2358b759156bb926e04a6b18defc76827c9146f93c7496f3b83101be,True,stored_predictions_not_forward_state,False,False,,Stored component/final predictions prove replay lineage but cannot score new assumption rows by themselves.
heavy_parent_search_0193,component_predictions.csv,,,external_user_candidate_drop,local_heavy_ruc_named_candidates,,raw_parent_component_forecast_source,parent_run_prediction_lineage,880138,be419f9b63e451d4cf916615f0855ee55aa517558e3718de9780d130d0aba3a9,,False,stored_predictions_not_forward_state,False,False,,Stored component/final predictions prove replay lineage but cannot score new assumption rows by themselves.
heavy_parent_search_0194,component_predictions.parquet,,,external_user_candidate_drop,local_heavy_ruc_named_candidates,,raw_parent_component_forecast_source,parent_run_prediction_lineage,61868,4ba756fa2061b55c50a5dcaf9cd20aa59caa28285abd848f5986584b699109bf,,False,stored_predictions_not_forward_state,False,False,,Stored component/final predictions prove replay lineage but cannot score new assumption rows by themselves.
