Sheet,Cell,Cached error,Formula
Dashboard data,Q105,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,Q$102,'Forecast archive'!$G$5:$G$1977,""Total RUC+PED revenue"",'Forecast archive'!$E$5:$E$1977,Q$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,Q$102,'Forecast archive'!$G$5:$G$1977,""Total RUC+PED revenue"",'Forecast archive'!$E$5:$E$1977,Q$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,R105,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,R$102,'Forecast archive'!$G$5:$G$1977,""Total RUC+PED revenue"",'Forecast archive'!$E$5:$E$1977,R$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,R$102,'Forecast archive'!$G$5:$G$1977,""Total RUC+PED revenue"",'Forecast archive'!$E$5:$E$1977,R$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,S105,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,S$102,'Forecast archive'!$G$5:$G$1977,""Total RUC+PED revenue"",'Forecast archive'!$E$5:$E$1977,S$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,S$102,'Forecast archive'!$G$5:$G$1977,""Total RUC+PED revenue"",'Forecast archive'!$E$5:$E$1977,S$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,N106,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,N$102,'Forecast archive'!$G$5:$G$1977,""PED revenue"",'Forecast archive'!$E$5:$E$1977,N$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,N$102,'Forecast archive'!$G$5:$G$1977,""PED revenue"",'Forecast archive'!$E$5:$E$1977,N$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,O106,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,O$102,'Forecast archive'!$G$5:$G$1977,""PED revenue"",'Forecast archive'!$E$5:$E$1977,O$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,O$102,'Forecast archive'!$G$5:$G$1977,""PED revenue"",'Forecast archive'!$E$5:$E$1977,O$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,P106,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,P$102,'Forecast archive'!$G$5:$G$1977,""PED revenue"",'Forecast archive'!$E$5:$E$1977,P$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,P$102,'Forecast archive'!$G$5:$G$1977,""PED revenue"",'Forecast archive'!$E$5:$E$1977,P$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,Q106,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,Q$102,'Forecast archive'!$G$5:$G$1977,""PED revenue"",'Forecast archive'!$E$5:$E$1977,Q$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,Q$102,'Forecast archive'!$G$5:$G$1977,""PED revenue"",'Forecast archive'!$E$5:$E$1977,Q$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,R106,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,R$102,'Forecast archive'!$G$5:$G$1977,""PED revenue"",'Forecast archive'!$E$5:$E$1977,R$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,R$102,'Forecast archive'!$G$5:$G$1977,""PED revenue"",'Forecast archive'!$E$5:$E$1977,R$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,S106,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,S$102,'Forecast archive'!$G$5:$G$1977,""PED revenue"",'Forecast archive'!$E$5:$E$1977,S$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,S$102,'Forecast archive'!$G$5:$G$1977,""PED revenue"",'Forecast archive'!$E$5:$E$1977,S$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,N107,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,N$102,'Forecast archive'!$G$5:$G$1977,""Light RUC revenue"",'Forecast archive'!$E$5:$E$1977,N$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,N$102,'Forecast archive'!$G$5:$G$1977,""Light RUC revenue"",'Forecast archive'!$E$5:$E$1977,N$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,O107,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,O$102,'Forecast archive'!$G$5:$G$1977,""Light RUC revenue"",'Forecast archive'!$E$5:$E$1977,O$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,O$102,'Forecast archive'!$G$5:$G$1977,""Light RUC revenue"",'Forecast archive'!$E$5:$E$1977,O$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,P107,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,P$102,'Forecast archive'!$G$5:$G$1977,""Light RUC revenue"",'Forecast archive'!$E$5:$E$1977,P$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,P$102,'Forecast archive'!$G$5:$G$1977,""Light RUC revenue"",'Forecast archive'!$E$5:$E$1977,P$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,Q107,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,Q$102,'Forecast archive'!$G$5:$G$1977,""Light RUC revenue"",'Forecast archive'!$E$5:$E$1977,Q$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,Q$102,'Forecast archive'!$G$5:$G$1977,""Light RUC revenue"",'Forecast archive'!$E$5:$E$1977,Q$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,R107,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,R$102,'Forecast archive'!$G$5:$G$1977,""Light RUC revenue"",'Forecast archive'!$E$5:$E$1977,R$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,R$102,'Forecast archive'!$G$5:$G$1977,""Light RUC revenue"",'Forecast archive'!$E$5:$E$1977,R$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,S107,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,S$102,'Forecast archive'!$G$5:$G$1977,""Light RUC revenue"",'Forecast archive'!$E$5:$E$1977,S$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,S$102,'Forecast archive'!$G$5:$G$1977,""Light RUC revenue"",'Forecast archive'!$E$5:$E$1977,S$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,N108,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,N$102,'Forecast archive'!$G$5:$G$1977,""Heavy RUC revenue"",'Forecast archive'!$E$5:$E$1977,N$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,N$102,'Forecast archive'!$G$5:$G$1977,""Heavy RUC revenue"",'Forecast archive'!$E$5:$E$1977,N$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,O108,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,O$102,'Forecast archive'!$G$5:$G$1977,""Heavy RUC revenue"",'Forecast archive'!$E$5:$E$1977,O$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,O$102,'Forecast archive'!$G$5:$G$1977,""Heavy RUC revenue"",'Forecast archive'!$E$5:$E$1977,O$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,P108,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,P$102,'Forecast archive'!$G$5:$G$1977,""Heavy RUC revenue"",'Forecast archive'!$E$5:$E$1977,P$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,P$102,'Forecast archive'!$G$5:$G$1977,""Heavy RUC revenue"",'Forecast archive'!$E$5:$E$1977,P$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,Q108,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,Q$102,'Forecast archive'!$G$5:$G$1977,""Heavy RUC revenue"",'Forecast archive'!$E$5:$E$1977,Q$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,Q$102,'Forecast archive'!$G$5:$G$1977,""Heavy RUC revenue"",'Forecast archive'!$E$5:$E$1977,Q$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,R108,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,R$102,'Forecast archive'!$G$5:$G$1977,""Heavy RUC revenue"",'Forecast archive'!$E$5:$E$1977,R$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,R$102,'Forecast archive'!$G$5:$G$1977,""Heavy RUC revenue"",'Forecast archive'!$E$5:$E$1977,R$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,S108,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,S$102,'Forecast archive'!$G$5:$G$1977,""Heavy RUC revenue"",'Forecast archive'!$E$5:$E$1977,S$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,S$102,'Forecast archive'!$G$5:$G$1977,""Heavy RUC revenue"",'Forecast archive'!$E$5:$E$1977,S$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,N109,#N/A,
Dashboard data,O109,#N/A,
Dashboard data,P109,#N/A,
Dashboard data,Q109,#N/A,
Dashboard data,R109,#N/A,
Dashboard data,S109,#N/A,
Dashboard data,B110,#N/A,"IF(B$12<2016,NA(),IF(B$12<=2021,""BEFU ""&(B$12-1),IF(B$12=2022,""BEFU21 NLTP"",IF(B$12=2023,""BEFU22"",IF(B$12=2024,""MBU23, BEFU23"",IF(B$12=2025,""BEFU24"",NA()))))))"
Dashboard data,C110,#N/A,
Dashboard data,N110,#N/A,
Dashboard data,O110,#N/A,
Dashboard data,P110,#N/A,
Dashboard data,Q110,#N/A,
Dashboard data,R110,#N/A,
Dashboard data,S110,#N/A,
Dashboard data,B111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,B$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,B$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,B$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,B$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,C111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,C$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,C$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,C$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,C$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,D111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,D$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,D$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,D$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,D$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,E111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,E$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,E$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,E$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,E$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,F111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,F$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,F$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,F$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,F$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,G111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,G$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,G$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,G$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,G$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,H111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,H$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,H$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,H$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,H$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,I111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,I$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,I$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,I$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,I$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,J111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,J$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,J$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,J$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,J$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,K111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,K$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,K$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,K$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,K$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,L111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,L$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,L$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,L$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,L$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,M111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,M$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,M$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,M$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,M$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,N111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,N$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,N$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,N$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,N$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,O111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,O$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,O$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,O$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,O$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,P111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,P$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,P$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,P$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,P$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,Q111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,Q$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,Q$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,Q$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,Q$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,R111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,R$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,R$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,R$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,R$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,S111,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,S$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,S$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,S$110,'Future forecasts'!$G$5:$G$8000,Dashboard!$E$5,'Future forecasts'!$E$5:$E$8000,S$12,'Future forecasts'!$F$5:$F$8000,1),NA()),NA())"
Dashboard data,B112,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,B$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees & refunds"",'Future forecasts'!$E$5:$E$8000,B$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,B$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees & refunds"",'Future forecasts'!$E$5:$E$8000,B$12,'Future forecasts'!$F$5:$F$8000,1),IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,B$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees"",'Future forecasts'!$E$5:$E$8000,B$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,B$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees"",'Future forecasts'!$E$5:$E$8000,B$12,'Future forecasts'!$F$5:$F$8000,1),NA())),NA())"
Dashboard data,C112,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,C$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees & refunds"",'Future forecasts'!$E$5:$E$8000,C$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,C$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees & refunds"",'Future forecasts'!$E$5:$E$8000,C$12,'Future forecasts'!$F$5:$F$8000,1),IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,C$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees"",'Future forecasts'!$E$5:$E$8000,C$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,C$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees"",'Future forecasts'!$E$5:$E$8000,C$12,'Future forecasts'!$F$5:$F$8000,1),NA())),NA())"
Dashboard data,D112,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,D$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees & refunds"",'Future forecasts'!$E$5:$E$8000,D$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,D$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees & refunds"",'Future forecasts'!$E$5:$E$8000,D$12,'Future forecasts'!$F$5:$F$8000,1),IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,D$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees"",'Future forecasts'!$E$5:$E$8000,D$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,D$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees"",'Future forecasts'!$E$5:$E$8000,D$12,'Future forecasts'!$F$5:$F$8000,1),NA())),NA())"
Dashboard data,E112,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,E$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees & refunds"",'Future forecasts'!$E$5:$E$8000,E$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,E$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees & refunds"",'Future forecasts'!$E$5:$E$8000,E$12,'Future forecasts'!$F$5:$F$8000,1),IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,E$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees"",'Future forecasts'!$E$5:$E$8000,E$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,E$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees"",'Future forecasts'!$E$5:$E$8000,E$12,'Future forecasts'!$F$5:$F$8000,1),NA())),NA())"
Dashboard data,F112,#N/A,"IFERROR(IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,F$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees & refunds"",'Future forecasts'!$E$5:$E$8000,F$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,F$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees & refunds"",'Future forecasts'!$E$5:$E$8000,F$12,'Future forecasts'!$F$5:$F$8000,1),IF(COUNTIFS('Future forecasts'!$A$5:$A$8000,F$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees"",'Future forecasts'!$E$5:$E$8000,F$12,'Future forecasts'!$F$5:$F$8000,1)>0,SUMIFS('Future forecasts'!$J$5:$J$8000,'Future forecasts'!$A$5:$A$8000,F$110,'Future forecasts'!$G$5:$G$8000,""RUC revenues net of admin fees"",'Future forecasts'!$E$5:$E$8000,F$12,'Future forecasts'!$F$5:$F$8000,1),NA())),NA())"
