engine,source_path,series_id,FY,value,unit,formula,value_status,forecast_segment
ar1,Current finalist Base case,gross_ped_revenue,2046,3762.191726213839,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2047,3806.892747573715,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2048,3849.3225538695037,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2049,3889.365191069567,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2050,3927.128908796318,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ruc_revenue,2031,3579.242234052491,$m nominal ex GST,light + heavy + light BEV + BEFU26 heavy BEV + PHEV RUC revenue + BEFU26 ruc_refunds,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ruc_revenue,2032,3818.81394083883,$m nominal ex GST,light + heavy + light BEV + BEFU26 heavy BEV + PHEV RUC revenue + BEFU26 ruc_refunds,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ruc_revenue,2033,4072.5342619497483,$m nominal ex GST,light + heavy + light BEV + BEFU26 heavy BEV + PHEV RUC revenue + BEFU26 ruc_refunds,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ruc_revenue,2034,4350.478828807338,$m nominal ex GST,light + heavy + light BEV + BEFU26 heavy BEV + PHEV RUC revenue + BEFU26 ruc_refunds,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ruc_revenue,2035,4656.001121912233,$m nominal ex GST,light + heavy + light BEV + BEFU26 heavy BEV + PHEV RUC revenue + BEFU26 ruc_refunds,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ruc_revenue,2036,4990.947021943129,$m nominal ex GST,light + heavy + light BEV + BEFU26 heavy BEV + PHEV RUC revenue + BEFU26 ruc_refunds,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ruc_revenue,2037,5359.744991307881,$m nominal ex GST,light + heavy + light BEV + BEFU26 heavy BEV + PHEV RUC revenue + BEFU26 ruc_refunds,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ruc_revenue,2038,5766.0314754354695,$m nominal ex GST,light + heavy + light BEV + BEFU26 heavy BEV + PHEV RUC revenue + BEFU26 ruc_refunds,post_model_extrapolation,post_model_extrapolation
