composition_source,composition_role,fy,hybrid_pool_million_km,conventional_share,bev_share,phev_share,conventional_million_km,light_bev_million_km,phev_million_km,raw_share_sum,class_sum_million_km,class_sum_minus_pool
BEFU26_embedded_shares,audit_only,2039,30456.870040401518,0.3995759224744466,0.47590532542724806,0.12451875209830535,12169.831942077772,14494.586648072687,3792.4514502510597,1.0,30456.87004040152,3.637978807091713e-12
BEFU26_embedded_shares,audit_only,2040,32343.321405427385,0.3577851539436626,0.5237502747139573,0.11846457134238011,11571.960228090196,16939.823471254407,3831.5377060827823,1.0,32343.321405427385,0.0
BEFU26_embedded_shares,audit_only,2041,34296.56249060911,0.32002077488294056,0.569859358474109,0.11011986664295056,10975.612504065923,19544.217098765694,3776.7328877774958,1.0,34296.56249060911,0.0
BEFU26_embedded_shares,audit_only,2042,36397.930282454894,0.2861189557551774,0.6119814222146504,0.10189962203017239,10414.137804065744,22274.857139926433,3708.9353384627193,1.0,36397.930282454894,0.0
BEFU26_embedded_shares,audit_only,2043,38373.41374887874,0.2544952886761023,0.6510247862383639,0.09447992508553363,9765.85300950841,24982.043483100075,3625.5172562702496,1.0,38373.41374887874,0.0
BEFU26_embedded_shares,audit_only,2044,40176.851237332696,0.22788803473748692,0.6841783934376006,0.08793357182491247,9155.823670416117,27488.133532939763,3532.8940339768183,1.0,40176.851237332696,0.0
BEFU26_embedded_shares,audit_only,2045,41904.54450962943,0.20506704988221086,0.7130058874248472,0.08192706269294199,8593.241319247503,29878.186945222336,3433.1162451595883,1.0,41904.54450962943,0.0
BEFU26_embedded_shares,audit_only,2046,43729.34359895682,0.1844084687667066,0.7394391437187764,0.07615238751451704,8064.061293256808,32335.188386196787,3330.0939195032247,1.0,43729.343598956824,7.275957614183426e-12
BEFU26_embedded_shares,audit_only,2047,45542.70301892691,0.16600356685715972,0.7631357731358857,0.07086066000695469,7560.2511454582045,34755.26587904683,3227.185994421889,1.0,45542.70301892692,7.275957614183426e-12
BEFU26_embedded_shares,audit_only,2048,47447.02924651576,0.14918315752683556,0.784801027795684,0.0660158146774806,7078.297638263334,37236.47731851744,3132.2542897349867,1.0,47447.02924651576,0.0
BEFU26_embedded_shares,audit_only,2049,49175.19969073982,0.13449173021294725,0.8038197930580832,0.061688476728969634,6613.657689974786,39527.99883900039,3033.5431617646386,1.0,49175.19969073982,0.0
BEFU26_embedded_shares,audit_only,2050,50615.706685708654,0.12185711148257868,0.8203189737594466,0.057823914757974784,6167.883812369902,41521.02456452968,2926.798308809072,1.0,50615.706685708654,0.0
MBU26_embedded_shares,audit_only,2031,20144.142612856624,0.714891615938619,0.18563405275718603,0.09947433130419502,14400.878664203066,3739.438832543306,2003.8251161102523,1.0,20144.142612856624,0.0
MBU26_embedded_shares,audit_only,2032,21053.78259611388,0.6772203823206739,0.2121245030008269,0.1106551146784992,14258.050699036594,4466.023169488116,2329.708727589172,1.0,21053.78259611388,0.0
MBU26_embedded_shares,audit_only,2033,22033.617813398785,0.6383331923914068,0.24075220980906678,0.1209145977995263,14064.789598759018,5304.642178664176,2664.1860359755924,1.0,22033.617813398785,0.0
MBU26_embedded_shares,audit_only,2034,23137.86711382702,0.5972691544613347,0.27324545747288137,0.12948538806578402,13819.534327114185,6322.317084464401,2996.015702248434,1.0,23137.867113827022,3.637978807091713e-12
MBU26_embedded_shares,audit_only,2035,24377.174605817723,0.5545815061176613,0.30960214967679195,0.13581634420554664,13519.1302077876,7547.225661007671,3310.818737022451,1.0,24377.174605817723,0.0
MBU26_embedded_shares,audit_only,2036,25718.707199756078,0.5120867063612904,0.34936726807423424,0.13854602556447543,13170.208061793495,8985.27447277992,3563.224665182664,1.0,25718.707199756078,0.0
MBU26_embedded_shares,audit_only,2037,27169.46631759025,0.46944783594899403,0.39265854552449403,0.13789361852651197,12754.647166681825,10668.323126941717,3746.496023966706,1.0,27169.466317590246,-3.637978807091713e-12
MBU26_embedded_shares,audit_only,2038,28722.090543516646,0.42694726633710767,0.43818464051021433,0.13486809315267798,12262.818041041322,12585.578919512667,3873.693582962654,1.0,28722.090543516642,-3.637978807091713e-12
MBU26_embedded_shares,audit_only,2039,30456.870040401518,0.3842963781546918,0.4850673567975213,0.13063626504778694,11704.464846454444,14773.633446823178,3978.7717471238943,1.0,30456.870040401518,0.0
MBU26_embedded_shares,audit_only,2040,32343.321405427385,0.34334085709245704,0.5326500092791041,0.12400913362843888,11104.78369255625,17227.67044671794,4010.867266153192,1.0,32343.32140542738,-3.637978807091713e-12
MBU26_embedded_shares,audit_only,2041,34296.56249060911,0.3065133280893467,0.5784334240661985,0.11505324784445478,10512.353511020854,19838.278075143375,3945.930904444881,1.0,34296.56249060911,0.0
MBU26_embedded_shares,audit_only,2042,36397.930282454894,0.2724610119196409,0.6213638176715028,0.10617517040885634,9917.016916538201,22616.356915647375,3864.5564502693214,1.0,36397.9302824549,7.275957614183426e-12
MBU26_embedded_shares,audit_only,2043,38373.41374887874,0.24296742075570504,0.6591558374246537,0.09787674181964122,9323.489364156578,25294.059674484884,3755.8647102372747,1.0,38373.41374887874,0.0
MBU26_embedded_shares,audit_only,2044,40176.851237332696,0.21824956855297645,0.6911324967811718,0.09061793466585165,8768.580448364979,27767.52750846346,3640.743280504255,1.0,40176.851237332696,0.0
MBU26_embedded_shares,audit_only,2045,41904.54450962943,0.1971035480035307,0.71887599027982,0.08402046171664938,8259.534400319833,30124.170931584646,3520.8391777249494,1.0,41904.54450962943,0.0
MBU26_embedded_shares,audit_only,2046,43729.34359895682,0.1779513085823487,0.744304338276362,0.07774435314128933,7781.69391688152,32547.940150681217,3399.7095313940786,1.0,43729.34359895682,0.0
MBU26_embedded_shares,audit_only,2047,45542.70301892691,0.1608807416559253,0.7670855583320861,0.07203370001198861,7326.94383870051,34935.14977322594,3280.609407000469,1.0,45542.70301892692,7.275957614183426e-12
MBU26_embedded_shares,audit_only,2048,47447.02924651576,0.14524387139691397,0.7879185980988921,0.06683753050419396,6891.390214046552,37384.396767871825,3171.24226459738,1.0,47447.029246515754,-7.275957614183426e-12
MBU26_embedded_shares,audit_only,2049,49175.19969073982,0.13157983664743528,0.8062026176074345,0.062217545745130214,6470.464742412555,39645.17471204275,3059.560236284518,1.0,49175.19969073983,7.275957614183426e-12
MBU26_embedded_shares,audit_only,2050,50615.706685708654,0.11983223150437569,0.8220599314247735,0.05810783707085083,6065.393081319416,41609.144367070105,2941.1692373191336,1.0,50615.706685708654,0.0
