engine,series_id,FY,reference_policy_state,central_changes_under_policy,rate_changes_under_policy,activity_changes_under_policy,band_should_change,reason,central_published,central_delayed_6m,central_off
ar1,gross_mvr_revenue,2041,published,False,False,False,False,not priced by the fuel rate and no activity response,515.6706165952565,515.6706165952565,515.6706165952565
ar1,gross_mvr_revenue,2042,published,False,False,False,False,not priced by the fuel rate and no activity response,513.5303122637637,513.5303122637637,513.5303122637637
ar1,gross_mvr_revenue,2043,published,False,False,False,False,not priced by the fuel rate and no activity response,511.52215393912184,511.52215393912184,511.52215393912184
ar1,gross_mvr_revenue,2044,published,False,False,False,False,not priced by the fuel rate and no activity response,509.63423431789107,509.63423431789107,509.63423431789107
ar1,gross_mvr_revenue,2045,published,False,False,False,False,not priced by the fuel rate and no activity response,507.8558373928368,507.8558373928368,507.8558373928368
ar1,gross_mvr_revenue,2046,published,False,False,False,False,not priced by the fuel rate and no activity response,506.17731612325764,506.17731612325764,506.17731612325764
ar1,gross_mvr_revenue,2047,published,False,False,False,False,not priced by the fuel rate and no activity response,504.5899822904554,504.5899822904554,504.5899822904554
ar1,gross_mvr_revenue,2048,published,False,False,False,False,not priced by the fuel rate and no activity response,503.0860075150547,503.0860075150547,503.0860075150547
ar1,gross_mvr_revenue,2049,published,False,False,False,False,not priced by the fuel rate and no activity response,501.658334426522,501.658334426522,501.658334426522
ar1,gross_mvr_revenue,2050,published,False,False,False,False,not priced by the fuel rate and no activity response,500.30059702186173,500.30059702186173,500.30059702186173
ar1,gross_ped_revenue,2025,published,False,False,False,False,rate-priced but outside every affected year,2026.68630478,2026.68630478,2026.68630478
ar1,gross_ped_revenue,2026,published,False,False,False,False,rate-priced but outside every affected year,2136.5366281536235,2136.5366281536235,2136.5366281536235
ar1,gross_ped_revenue,2027,published,True,True,True,True,rate and the modelled activity response both changed,2210.2466848886243,2042.35559628024,2042.35559628024
ar1,gross_ped_revenue,2028,published,True,True,True,True,rate and the modelled activity response both changed,2458.3756522386057,2458.3756522386057,2124.3060520109107
ar1,gross_ped_revenue,2029,published,True,True,True,True,rate and the modelled activity response both changed,2601.9822410018924,2601.9822410018924,2268.7492086400266
ar1,gross_ped_revenue,2030,published,True,True,True,True,rate and the modelled activity response both changed,2716.3466616082915,2716.3466616082915,2383.819943847477
ar1,gross_ped_revenue,2031,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",2814.2719810459394,2814.2719810459394,2470.03889542702
ar1,gross_ped_revenue,2032,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",2899.160338418369,2899.160338418369,2558.453856202721
ar1,gross_ped_revenue,2033,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",2973.505215638092,2973.505215638092,2637.2483867175165
ar1,gross_ped_revenue,2034,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",3035.1733775429625,3035.1733775429625,2704.420815162634
ar1,gross_ped_revenue,2035,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",3078.8820565102224,3078.8820565102224,2755.124202132137
ar1,gross_ped_revenue,2036,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",3097.171219243684,3097.171219243684,2782.523948387388
ar1,gross_ped_revenue,2037,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",3082.643743036413,3082.643743036413,2779.7304983766962
ar1,gross_ped_revenue,2038,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",3028.316488326235,3028.316488326235,2740.181921403933
ar1,gross_ped_revenue,2039,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",2931.0833575598367,2931.0833575598367,2660.773427361761
ar1,gross_ped_revenue,2040,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",2792.915300229852,2792.915300229852,2543.02485206438
ar1,gross_ped_revenue,2041,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",2620.2326536817573,2620.2326536817573,2392.57850210572
ar1,gross_ped_revenue,2042,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",2409.6656262256297,2409.6656262256297,2206.1977537321336
ar1,gross_ped_revenue,2043,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",2189.740813932287,2189.740813932287,2009.9115122256662
ar1,gross_ped_revenue,2044,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",1985.2108587533382,1985.2108587533382,1826.5253753993031
ar1,gross_ped_revenue,2045,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",1812.4504216461714,1812.4504216461714,1671.3349665647224
ar1,gross_ped_revenue,2046,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",1665.2657633298074,1665.2657633298074,1538.8896214710724
ar1,gross_ped_revenue,2047,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",1527.654862554533,1527.654862554533,1414.5831275474327
ar1,gross_ped_revenue,2048,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",1401.4410304255512,1401.4410304255512,1300.212122943563
ar1,gross_ped_revenue,2049,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",1284.1338774199137,1284.1338774199137,1193.561252402645
ar1,gross_ped_revenue,2050,published,True,True,False,True,"rate-priced leaf: the collection rate changed, volume did not",1175.2327959122665,1175.2327959122665,1094.2487110437116
ar1,gross_ruc_revenue,2025,published,False,False,False,False,not priced by the fuel rate and no activity response,2072.4662332403095,2072.4662332403095,2072.4662332403095
ar1,gross_ruc_revenue,2026,published,False,False,False,False,not priced by the fuel rate and no activity response,2173.6716139131636,2173.6716139131636,2173.6716139131636
