engine,series_id,FY,reference_policy_state,central_changes_under_policy,rate_changes_under_policy,activity_changes_under_policy,band_should_change,reason,central_published,central_delayed_6m,central_delayed_12m,central_delayed_18m,central_delayed_24m,central_delayed_30m,central_delayed_36m,central_off,central_option1_12c_10c_4c,central_option2_9c_9c_4c,central_option3_4c_semiannual,central_option4_labour_4c,central_mcert
ensemble,gross_cng_revenue,2028,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble,gross_cng_revenue,2029,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble,gross_cng_revenue,2030,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble,gross_cng_revenue,2031,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble,gross_cng_revenue,2032,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble,gross_cng_revenue,2033,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble,gross_cng_revenue,2034,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble,gross_cng_revenue,2035,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble,gross_cng_revenue,2036,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble,gross_cng_revenue,2037,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble,gross_cng_revenue,2038,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble,gross_cng_revenue,2039,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
