FY,metric,unit,official_vintage,comparison_vintage,prebu26_value,befu26_value,delta_prebu26_minus_befu26
2033,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.41637999999999986,0.4163799999999989,9.43689570931383e-16
2033,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.05002500000000002,0.050024999999999965,5.551115123125783e-17
2034,ped_effective_rate,$/L,PREBU26,BEFU26,1.1001400667299677,1.1001419804613515,-1.9137313838069048e-06
2034,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,8.376649037676417,8.4090385336455,-0.032389495969082915
2034,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.10527499999999988,0.10527500000000002,-1.3877787807814457e-16
2034,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.43208499999999933,0.4320850000000008,-1.4432899320127035e-15
2034,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.10527500000000002,0.10527499999999991,1.1102230246251565e-16
2034,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.4320849999999997,0.432084999999999,7.216449660063518e-16
2034,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.051914999999999926,0.051915000000000024,-9.71445146547012e-17
2035,ped_effective_rate,$/L,PREBU26,BEFU26,1.1400943992647488,1.1400953906664826,-9.914017338186198e-07
2035,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,8.287931301722551,8.321922319182862,-0.03399101746031086
2035,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.10909999999999981,0.10910000000000056,-7.494005416219807e-16
2035,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.44779500000000116,0.4477949999999997,1.4432899320127035e-15
2035,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.10910000000000006,0.10910000000000004,1.3877787807814457e-17
2035,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.447794999999998,0.447795,-1.9984014443252818e-15
2035,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.053800000000000216,0.05379999999999978,4.371503159461554e-16
2036,ped_effective_rate,$/L,PREBU26,BEFU26,1.1800739724961369,1.1800752344742995,-1.2619781626366233e-06
2036,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,8.199218640481519,8.234809465101643,-0.035590824620124195
2036,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.11292500000000015,0.1129250000000005,-3.469446951953614e-16
2036,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.4635049999999999,0.46350499999999917,7.216449660063518e-16
2036,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.11292499999999998,0.112925,-1.3877787807814457e-17
2036,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.46350499999999917,0.46350499999999784,1.3322676295501878e-15
2036,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.0556849999999999,0.05568499999999986,4.163336342344337e-17
2037,ped_effective_rate,$/L,PREBU26,BEFU26,1.220037287518179,1.220038468156412,-1.1806382329559995e-06
2037,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,8.110512695965264,8.147703682785226,-0.03719098681996158
2037,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.11675500000000046,0.11675500000000047,-1.3877787807814457e-17
2037,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.4792150000000011,0.4792149999999999,1.2212453270876722e-15
2037,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.11675500000000012,0.11675499999999976,3.608224830031759e-16
2037,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.47921499999999867,0.47921499999999867,0.0
2037,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.05757499999999988,0.0575750000000001,-2.1510571102112408e-16
2038,ped_effective_rate,$/L,PREBU26,BEFU26,1.2600096025125653,1.2600110355185095,-1.4330059441292065e-06
2038,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,8.021814630816678,8.060605190952423,-0.038790560135744556
2038,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.12058500000000033,0.1205850000000002,1.249000902703301e-16
2038,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.49492499999999995,0.4949249999999988,1.1657341758564144e-15
2038,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.12058500000000015,0.12058500000000001,1.3877787807814457e-16
2038,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.4949249999999997,0.4949250000000013,-1.5543122344752192e-15
2038,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.05946500000000012,0.05946499999999987,2.498001805406602e-16
