scenario_name,series_id,FY,fed_path,component_type,value_before,value_after,abs_change,pct_change,engine
current_comparison_1,total_fed_ruc_net_revenue,2030,Current planned path,calculated_rollup,5909.326805019455,5909.3267943152605,-1.0704194210120477e-05,-1.8114067072797875e-07,ar1
current_comparison_1,total_nltf_net_revenue,2026,Current planned path,calculated_rollup,4629.93280722776,4622.581897651354,-7.350909576406593,-0.15876924962995428,ar1
current_comparison_1,total_nltf_net_revenue,2027,Current planned path,calculated_rollup,4965.432313608892,4982.022882142556,16.590568533663827,0.3341213309502501,ar1
current_comparison_1,total_nltf_net_revenue,2028,Current planned path,calculated_rollup,5606.034487387678,5606.237974444044,0.2034870563657023,0.0036297860247471287,ar1
current_comparison_1,total_nltf_net_revenue,2029,Current planned path,calculated_rollup,6032.931433406543,6032.931151323684,-0.0002820828585754498,-4.67571796048359e-06,ar1
current_comparison_1,total_nltf_net_revenue,2030,Current planned path,calculated_rollup,6406.76842300114,6406.768412296946,-1.0704194210120477e-05,-1.6707634026057528e-07,ar1
current_comparison_1,total_ruc_net_revenue,2026,Current planned path,calculated_rollup,2081.866502550141,2074.515592973735,-7.3509095764061385,-0.35309226443683056,ar1
current_comparison_1,total_ruc_net_revenue,2027,Current planned path,calculated_rollup,2271.6152884711487,2288.2058570048125,16.590568533663827,0.7303423523280509,ar1
current_comparison_1,total_ruc_net_revenue,2028,Current planned path,calculated_rollup,2676.843393384666,2677.046880441032,0.20348705636615705,0.007601754247896552,ar1
current_comparison_1,total_ruc_net_revenue,2029,Current planned path,calculated_rollup,2968.2311604815154,2968.2308783986555,-0.00028208285993969184,-9.503399320622033e-06,ar1
current_comparison_1,total_ruc_net_revenue,2030,Current planned path,calculated_rollup,3233.878719632444,3233.87870892825,-1.0704193755373126e-05,-3.3100170672417e-07,ar1
