series_id,path,FY,value,unit,source_file,source_status,value_status,quarters_present,actual_quarters,forecast_quarters,model_training_cutoff,revenue_actual_cutoff,last_complete_actual_fy,first_forecast_quarter,last_actual_to_first_forecast_ratio,source_derived_tolerance,discontinuity_flag,nowcast_components,notes
light_bev_ruc_net_km,actual_or_actual_to_date,2026,544.953474,million km,annual_actuals.csv,registered_alias,Actual,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4; 2026Q1,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: 2025Q3; 2025Q4; 2026Q1; forecast: none,not connected as complete actual; FY2026 is partial actual-to-date only
light_bev_ruc_net_km,actual_or_actual_to_date,2027,,,,,forecast_only,2026Q3; 2026Q4; 2027Q1; 2027Q2,,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: none; forecast: none,forecast-only year; no actual value shown
light_bev_ruc_net_km,current_finalist_model,2024,,,,,complete_actual,2023Q3; 2023Q4; 2024Q1; 2024Q2,2023Q3; 2023Q4; 2024Q1; 2024Q2,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: 2023Q3; 2023Q4; 2024Q1; 2024Q2; forecast: none,
light_bev_ruc_net_km,current_finalist_model,2025,,,,,complete_actual,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: 2024Q3; 2024Q4; 2025Q1; 2025Q2; forecast: none,
light_bev_ruc_net_km,current_finalist_model,2026,,,,,partial_actual_to_date,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4; 2026Q1,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: 2025Q3; 2025Q4; 2026Q1; forecast: none,actual-plus-forecast-to-go nowcast where source actual quarters and current forecast quarters both exist
light_bev_ruc_net_km,current_finalist_model,2027,,,,,forecast_only,2026Q3; 2026Q4; 2027Q1; 2027Q2,,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: none; forecast: none,
light_bev_ruc_net_km,legacy_workbook_in_house_model,2024,445.9283759016295,million km,annual_model_paths.csv,registered_alias,,2023Q3; 2023Q4; 2024Q1; 2024Q2,2023Q3; 2023Q4; 2024Q1; 2024Q2,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: 2023Q3; 2023Q4; 2024Q1; 2024Q2; forecast: none,
light_bev_ruc_net_km,legacy_workbook_in_house_model,2025,824.7372360503007,million km,annual_model_paths.csv,registered_alias,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: 2024Q3; 2024Q4; 2025Q1; 2025Q2; forecast: none,
light_bev_ruc_net_km,legacy_workbook_in_house_model,2026,1230.542762593834,million km,annual_model_paths.csv,registered_alias,,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4; 2026Q1,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: 2025Q3; 2025Q4; 2026Q1; forecast: none,
light_bev_ruc_net_km,legacy_workbook_in_house_model,2027,1790.3546817446943,million km,annual_model_paths.csv,registered_alias,,2026Q3; 2026Q4; 2027Q1; 2027Q2,,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: none; forecast: none,
light_bev_ruc_net_revenue,actual_or_actual_to_date,2024,27.17009431304352,$m ex GST,annual_actuals.csv,registered,Actual,2023Q3; 2023Q4; 2024Q1; 2024Q2,2023Q3; 2023Q4; 2024Q1; 2024Q2,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: 2023Q3; 2023Q4; 2024Q1; 2024Q2; forecast: none,
light_bev_ruc_net_revenue,actual_or_actual_to_date,2025,51.47360806956523,$m ex GST,annual_actuals.csv,registered,Actual,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: 2024Q3; 2024Q4; 2025Q1; 2025Q2; forecast: none,
light_bev_ruc_net_revenue,actual_or_actual_to_date,2026,34.01967200869566,$m ex GST,annual_actuals.csv,registered,Actual,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4; 2026Q1,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: 2025Q3; 2025Q4; 2026Q1; forecast: none,not connected as complete actual; FY2026 is partial actual-to-date only
light_bev_ruc_net_revenue,actual_or_actual_to_date,2027,,,,,forecast_only,2026Q3; 2026Q4; 2027Q1; 2027Q2,,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: none; forecast: none,forecast-only year; no actual value shown
