stream,stream_label,scenario,model,model_short,horizon,n,mape,bias_pct,source_dataset,source_column,calculation_basis,value_available
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__schiff__SCHIFF_OLS__noylag__w40,LIGHT RUC  schiff  SCHIFF OLS  noylag  w40,9,30,13.41033439169753,4.444754798293058,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__schiff__SCHIFF_OLS__noylag__w40,LIGHT RUC  schiff  SCHIFF OLS  noylag  w40,10,30,12.555697249622787,5.016569125127833,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__schiff__SCHIFF_OLS__noylag__w40,LIGHT RUC  schiff  SCHIFF OLS  noylag  w40,11,30,11.949193833202527,5.17030818028645,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__schiff__SCHIFF_OLS__noylag__w40,LIGHT RUC  schiff  SCHIFF OLS  noylag  w40,12,30,13.493424044485618,6.227337939424657,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,1,56,1.1626321158641275,0.3235273413258805,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,2,55,1.515491228554866,0.5532238948558538,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,3,54,1.693884319484315,0.7472409176879522,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,4,53,1.869698336317768,0.9679270145456976,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,5,52,2.134077470017479,1.1740458408626038,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,6,51,2.425507180715728,1.4052618242835841,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,7,50,2.648495511104049,1.6896954621982565,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,8,49,2.830876399347287,1.9310826160631238,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,9,48,3.1796780506859244,2.1508460718937035,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,10,47,3.3967777455204162,2.37085428352286,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,11,46,3.659984761862246,2.6320936219525923,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,12,45,3.851556065206718,2.9002716524501326,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Schiff,PED__schiff__SCHIFF_OLS__noylag__w64,PED  schiff  SCHIFF OLS  noylag  w64,1,56,1.5517980627056045,-0.04401305905329122,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Schiff,PED__schiff__SCHIFF_OLS__noylag__w64,PED  schiff  SCHIFF OLS  noylag  w64,2,55,1.9142388513839248,0.15658576314463893,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Schiff,PED__schiff__SCHIFF_OLS__noylag__w64,PED  schiff  SCHIFF OLS  noylag  w64,3,54,2.2126059192037597,0.34862694750304507,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Schiff,PED__schiff__SCHIFF_OLS__noylag__w64,PED  schiff  SCHIFF OLS  noylag  w64,4,53,2.5122906094548916,0.5401705895134319,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Schiff,PED__schiff__SCHIFF_OLS__noylag__w64,PED  schiff  SCHIFF OLS  noylag  w64,5,52,2.834079675357983,0.6389848742864701,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Schiff,PED__schiff__SCHIFF_OLS__noylag__w64,PED  schiff  SCHIFF OLS  noylag  w64,6,51,3.1124337705516645,0.7410102500070752,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Schiff,PED__schiff__SCHIFF_OLS__noylag__w64,PED  schiff  SCHIFF OLS  noylag  w64,7,50,3.335330695627997,0.8478709434917959,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Schiff,PED__schiff__SCHIFF_OLS__noylag__w64,PED  schiff  SCHIFF OLS  noylag  w64,8,49,3.5789572402712295,0.9719810914733553,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Schiff,PED__schiff__SCHIFF_OLS__noylag__w64,PED  schiff  SCHIFF OLS  noylag  w64,9,48,3.891686771425779,1.0973445246886977,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Schiff,PED__schiff__SCHIFF_OLS__noylag__w64,PED  schiff  SCHIFF OLS  noylag  w64,10,47,4.111380822427411,1.2502473045826703,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Schiff,PED__schiff__SCHIFF_OLS__noylag__w64,PED  schiff  SCHIFF OLS  noylag  w64,11,46,4.2579630191808775,1.4073012515320336,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
PED,PED VKT per capita,Schiff,PED__schiff__SCHIFF_OLS__noylag__w64,PED  schiff  SCHIFF OLS  noylag  w64,12,45,4.417849440626061,1.5788936228328074,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
