baseline_source,scenario_name,scenario_role,time_grain,series_id,period,fed_path,row_type,trace_name,value,source_path,period_fy
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2015Q2,Current planned path,historical_actual,Actual,1666.6828675687343,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2015Q3,Current planned path,historical_actual,Actual,1677.2011820521825,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2015Q4,Current planned path,historical_actual,Actual,1707.282279711192,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2016Q1,Current planned path,historical_actual,Actual,1705.794990531884,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2016Q2,Current planned path,historical_actual,Actual,1692.8710046610347,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2016Q3,Current planned path,historical_actual,Actual,1700.9157190921778,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2016Q4,Current planned path,historical_actual,Actual,1723.6814859298345,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2017Q1,Current planned path,historical_actual,Actual,1698.630785625042,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2017Q2,Current planned path,historical_actual,Actual,1698.9649958845876,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2017Q3,Current planned path,historical_actual,Actual,1705.0527201927173,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2017Q4,Current planned path,historical_actual,Actual,1723.526899255977,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2018Q1,Current planned path,historical_actual,Actual,1694.34770814253,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2018Q2,Current planned path,historical_actual,Actual,1688.703955990905,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2018Q3,Current planned path,historical_actual,Actual,1690.809020794082,,
