stream_label,model_class,model,operational_n,operational_pooled_mape,operational_horizon_mean_mape,operational_bias_pct,paper_n,paper_horizon_mean_mape,paper_pooled_mape,paper_bias_pct,operational_annual_mape,paper_annual_mape,operational_h09_12_mape,paper_h09_12_mape,op_gain_vs_schiff_spec_pp,paper_gain_vs_schiff_spec_pp,decision_score,governance_score
Light RUC volume,Light RUC challenger candidate,spec_plus_ylag_RESID_GBR_n80_d1_lr0.03_w44,390,8.594660185076226,8.74491365956743,2.086760421950008,126.0,7.486933605248829,6.479476792496418,-0.540778167431342,6.02230239420146,3.5205905745830544,10.39982640443693,11.149335359748957,-0.1817211069782605,1.0344634847580405,17.795845431070422,0.1602065613608748
Light RUC volume,Light RUC challenger candidate,dynamic_RESID_GBR_n400_d1_lr0.05_w40,390,8.403194555708957,8.548627924254415,1.7121525262448394,126.0,6.276733261582336,5.340369428293975,0.0510664820037393,6.438101212201838,1.409235759651224,10.113261123644945,9.988101810043643,0.009744522389008026,2.2446638284245335,16.46066837296624,0.1616646415552855
Light RUC volume,Light RUC challenger candidate,spec_plus_ylag_RESID_GBR_n150_d1_lr0.03_w40,390,8.433950599228355,8.572253161042026,1.6904711609294136,126.0,6.753367175602933,5.841023324597927,-0.4518854712540658,6.470681366539025,3.4456354787150643,9.991984934089343,10.52866749942216,-0.021011521130390065,1.7680299144039369,16.974035232558986,0.1619076549210206
Light RUC volume,Light RUC challenger candidate,spec_plus_ylag_RESID_GBR_n80_d2_lr0.03_w40,390,8.424165575811845,8.564892334285139,1.9592167977072164,126.0,6.860770982279031,5.867975289218051,0.0067768783588448,6.415701354352227,2.986554664020157,10.035656788986982,10.947951589685898,-0.011226497713879624,1.6606261077278388,17.084783576449652,0.1631227217496962
Light RUC volume,Light RUC challenger candidate,spec_plus_ylag_RESID_GBR_n80_d1_lr0.05_w40,390,8.418599004801367,8.558617301625063,1.7184571547586645,126.0,6.737456826751757,5.821404090983938,-0.480045343331437,6.464547166571951,3.47496091822293,10.046475233992377,10.476091776958029,-0.005659926703401652,1.7839402632551131,16.94403833867198,0.1634872417982989
Light RUC volume,Light RUC challenger candidate,dynamic_plus_ylag_RESID_GBR_n250_d2_lr0.03_w40,390,8.427916507507918,8.570490543652793,2.0592317258174067,126.0,6.441225607898903,5.369536220317229,0.2391856867980042,6.407105431589811,1.531941721726545,10.011268905147965,10.631720975191996,-0.014977429409952947,2.080171482107967,16.676841645886014,0.1645200486026731
Light RUC volume,Light RUC challenger candidate,dynamic_plus_ylag_RESID_GBR_n150_d2_lr0.03_w40,390,8.40939870135118,8.554463228242179,2.089951259884828,126.0,6.465714638782647,5.395423411668503,0.1918587376399997,6.415370335224243,1.612849259977959,10.032244819530032,10.641757574252985,0.003540376746785867,2.0556824512242224,16.68795104992837,0.165370595382746
Light RUC volume,Light RUC challenger candidate,dynamic_plus_ylag_RESID_GBR_n250_d2_lr0.08_w36,390,8.241083690426942,8.35326927062286,2.507665412244835,126.0,5.502460180769916,4.8972567577505695,1.0263516026237611,6.572111864016753,1.5235549643484896,9.515243074390082,8.050001837910695,0.17185538767102315,3.0189369092369542,15.637338378425529,0.1685297691373025
Light RUC volume,Light RUC challenger candidate,dynamic_plus_ylag_RESID_GBR_n400_d2_lr0.08_w36,390,8.241945087178005,8.354115118669512,2.5057809098556327,126.0,5.502324421103045,4.897727684791177,1.0298174850685256,6.574201905729793,1.5204118842280037,9.515185067924149,8.048589335960234,0.17099399091996048,3.019072668903825,15.638398075699062,0.1693803159173754
Light RUC volume,Light RUC challenger candidate,dynamic_plus_ylag_RESID_GBR_n150_d2_lr0.08_w36,390,8.243518832998127,8.355840727312955,2.5203667233825677,126.0,5.498534318317262,4.894411621185911,1.014729818037766,6.566827971028455,1.527962974811773,9.519956603756103,8.033380382596974,0.16942024509983789,3.022862771689608,15.635796816410759,0.1702916160388821
Light RUC volume,Light RUC challenger candidate,dynamic_RESID_GBR_n80_d1_lr0.08_w40,390,8.416658005280633,8.564960314360974,1.865217899683493,126.0,6.373966309300932,5.373676151890578,0.0434917074548886,6.4664255640508745,1.3330681470253087,10.072853808706688,10.343926704777768,-0.0037189271826676418,2.147430780705938,16.593752495562633,0.1718712029161604
Light RUC volume,Light RUC challenger candidate,dynamic_Elastic_a0.05_l10.3_w44,390,8.892657273476207,9.010059596894974,1.8565378674714452,126.0,8.210879599421574,7.632133122634664,-3.15442628094056,6.008407410413219,6.223917103036978,10.190877767624016,10.136395035550285,-0.4797181953782417,0.3105174905852959,18.79129251224823,0.1719319562575942
Light RUC volume,Light RUC challenger candidate,dynamic_plus_ylag_RESID_GBR_n80_d2_lr0.03_w40,390,8.376862804317799,8.522712290914056,2.15576360183813,126.0,6.538298837663958,5.467986884147174,0.1606847540845913,6.471892091613244,1.7567212379716832,10.013504695194962,10.739699090224654,0.03607627378016609,1.983098252342912,16.748711025068882,0.1725394896719319
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Elastic_a0.005_l10.7_w40,390,8.735168969287745,8.869754569090174,2.3786086331385587,126.0,7.441690131969547,6.585297020809065,-1.3311948165221985,5.863590722300556,4.022025758237461,10.301556197865748,10.674536552888693,-0.32222989118977985,1.079706958037323,17.880617645146287,0.1727217496962333
Light RUC volume,Light RUC challenger candidate,spec_plus_ylag_RESID_GBR_n80_d2_lr0.05_w40,390,8.464214251387297,8.613894768488239,2.0916961897534083,126.0,6.860559915661926,5.842869375382357,0.2505263799901828,6.362980279340091,2.746799215671414,10.16195150510144,11.07278321109916,-0.05127517328933173,1.6608371743449437,17.12468885585959,0.1733900364520048
